frame,face_id,timestamp,confidence,success,x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,x_10,x_11,x_12,x_13,x_14,x_15,x_16,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,x_27,x_28,x_29,x_30,x_31,x_32,x_33,x_34,x_35,x_36,x_37,x_38,x_39,x_40,x_41,x_42,x_43,x_44,x_45,x_46,x_47,x_48,x_49,x_50,x_51,x_52,x_53,x_54,x_55,x_56,x_57,x_58,x_59,x_60,x_61,x_62,x_63,x_64,x_65,x_66,x_67,y_0,y_1,y_2,y_3,y_4,y_5,y_6,y_7,y_8,y_9,y_10,y_11,y_12,y_13,y_14,y_15,y_16,y_17,y_18,y_19,y_20,y_21,y_22,y_23,y_24,y_25,y_26,y_27,y_28,y_29,y_30,y_31,y_32,y_33,y_34,y_35,y_36,y_37,y_38,y_39,y_40,y_41,y_42,y_43,y_44,y_45,y_46,y_47,y_48,y_49,y_50,y_51,y_52,y_53,y_54,y_55,y_56,y_57,y_58,y_59,y_60,y_61,y_62,y_63,y_64,y_65,y_66,y_67,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,AU01_c,AU02_c,AU04_c,AU05_c,AU06_c,AU07_c,AU09_c,AU10_c,AU12_c,AU14_c,AU15_c,AU17_c,AU20_c,AU23_c,AU25_c,AU26_c,AU28_c,AU45_c
1,0,0.000,0.88,1,1101.2,1101.3,1103.3,1107.0,1115.0,1128.8,1147.3,1169.7,1191.7,1210.4,1224.2,1235.6,1243.5,1248.2,1251.3,1253.5,1253.8,1127.2,1140.1,1156.2,1172.0,1185.5,1205.6,1218.4,1230.8,1242.4,1249.3,1196.0,1197.7,1199.6,1201.5,1181.4,1189.6,1197.6,1204.8,1211.0,1143.4,1152.5,1163.0,1170.9,1162.4,1152.0,1211.6,1220.1,1229.3,1235.6,1229.9,1220.8,1166.2,1179.8,1190.4,1197.4,1204.6,1212.5,1218.4,1212.4,1204.8,1197.2,1189.5,1179.0,1171.7,1189.8,1197.0,1204.2,1214.4,1204.3,1196.9,1189.7,905.5,926.5,947.7,967.9,986.8,1002.9,1015.3,1024.3,1026.3,1023.2,1013.0,999.7,983.5,964.9,946.0,927.0,908.0,885.6,876.2,873.5,875.7,881.3,881.3,876.6,875.7,879.1,888.8,896.1,908.4,920.5,933.2,945.7,948.0,950.0,948.4,946.1,899.1,893.2,893.5,900.5,902.5,902.4,901.1,894.4,894.9,900.8,903.5,903.3,977.1,968.3,964.5,966.5,964.7,969.0,976.9,982.4,984.6,985.1,984.6,982.7,976.5,972.5,972.8,972.4,976.5,974.6,975.3,974.8,0.00,0.00,0.00,0.00,1.12,0.24,0.08,0.83,0.08,0.00,0.72,0.70,0.20,0.00,0.00,0.29,0.20,0.00,0.00,1.00,1.00,1.00,0.00,0.00,1.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00,1.00
2,0,0.017,0.88,1,1101.6,1101.5,1103.3,1106.9,1114.4,1127.6,1145.8,1168.2,1190.7,1209.8,1223.8,1235.2,1243.1,1247.9,1251.2,1253.6,1253.9,1127.8,1140.7,1156.2,1171.5,1184.6,1204.5,1217.3,1229.6,1241.2,1248.4,1195.1,1196.9,1198.8,1200.7,1181.1,1189.1,1197.1,1204.3,1210.4,1143.3,1152.4,1162.6,1170.5,1162.2,1152.1,1210.9,1219.4,1228.4,1234.8,1228.9,1220.1,1166.0,1179.4,1190.3,1197.4,1204.7,1212.9,1218.8,1212.8,1204.9,1197.0,1189.3,1178.6,1171.6,1189.7,1196.9,1204.2,1214.7,1204.3,1196.7,1189.5,904.4,924.8,945.6,965.5,984.4,1000.7,1013.6,1023.2,1025.8,1023.1,1013.0,999.6,983.2,964.5,945.3,926.1,907.0,883.5,875.0,872.9,875.1,880.5,880.3,875.6,874.5,877.7,886.7,893.6,905.8,917.9,930.5,942.9,945.3,947.2,945.5,943.3,896.5,890.8,890.9,897.5,899.2,899.3,898.1,891.6,892.2,897.9,900.2,899.9,974.8,965.5,961.4,963.4,961.6,966.1,974.5,981.3,984.1,984.8,984.2,981.7,974.2,969.6,969.9,969.6,974.2,973.5,974.3,973.6,0.00,0.00,0.00,0.00,0.37,0.08,0.03,0.28,0.03,0.00,0.24,0.23,0.07,0.00,0.00,0.10,0.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3,0,0.033,0.03,0,1102.7,1101.9,1102.6,1105.4,1112.4,1125.5,1145.1,1169.6,1193.0,1212.3,1225.6,1236.5,1244.5,1249.3,1252.2,1253.6,1253.2,1131.2,1143.4,1157.3,1171.5,1183.6,1208.4,1220.2,1231.3,1241.8,1249.0,1196.4,1198.5,1200.7,1202.7,1182.3,1190.8,1199.3,1206.5,1212.5,1145.5,1154.8,1164.2,1172.4,1164.4,1155.2,1212.3,1221.1,1229.8,1236.5,1230.8,1222.4,1159.9,1176.1,1190.4,1199.1,1208.1,1218.2,1224.8,1217.8,1208.2,1198.3,1188.8,1174.6,1165.4,1189.6,1198.4,1207.5,1220.9,1206.9,1197.4,1188.3,902.1,921.6,942.0,962.0,981.4,998.9,1013.0,1023.6,1026.3,1022.4,1011.4,996.9,979.8,960.6,940.5,920.1,899.7,880.8,872.7,870.5,871.9,876.3,873.4,867.5,865.8,868.8,877.1,888.7,901.3,914.0,927.2,937.8,940.4,942.6,940.2,937.8,894.6,889.4,889.2,894.4,895.7,895.9,892.7,886.6,886.3,890.8,892.9,893.2,965.5,956.7,953.6,955.2,953.3,956.4,963.8,977.0,982.7,984.0,983.3,978.2,965.6,961.1,961.5,960.6,964.5,972.5,973.8,973.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4,0,0.050,0.68,0,1101.9,1101.8,1102.4,1104.7,1111.6,1125.2,1145.4,1171.0,1194.6,1213.6,1225.8,1236.3,1244.4,1249.4,1251.9,1252.2,1250.8,1130.2,1140.9,1154.3,1169.1,1181.9,1212.2,1223.0,1232.9,1242.3,1249.1,1198.6,1201.5,1204.6,1207.4,1184.9,1194.2,1203.3,1210.6,1216.6,1146.0,1155.6,1164.9,1173.4,1165.3,1156.2,1213.7,1222.3,1231.0,1237.8,1232.3,1223.9,1158.1,1176.3,1192.8,1202.4,1211.9,1222.0,1227.8,1221.3,1211.7,1201.4,1191.1,1174.7,1163.4,1191.9,1201.6,1211.3,1224.3,1210.1,1200.1,1190.1,901.7,921.4,941.6,961.7,980.9,998.4,1012.5,1023.5,1026.5,1022.2,1010.6,995.7,977.9,957.7,936.8,915.7,894.9,876.8,867.4,863.4,863.7,867.4,864.5,858.7,857.5,860.7,869.0,885.6,898.4,911.3,924.6,935.8,938.5,940.9,938.1,935.4,893.9,888.8,888.5,892.9,894.6,894.9,890.6,885.1,884.5,888.6,890.8,891.4,962.6,954.4,951.7,953.4,951.3,953.8,960.5,975.9,982.5,983.9,983.1,977.1,963.0,959.0,959.5,958.4,961.5,972.7,974.2,973.6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5,0,0.067,0.88,1,1100.6,1101.1,1103.5,1107.4,1115.7,1129.8,1147.8,1169.4,1190.5,1208.6,1222.6,1234.3,1242.5,1247.3,1250.4,1252.6,1253.2,1125.9,1137.9,1154.4,1170.9,1185.2,1203.8,1216.7,1229.5,1241.2,1247.8,1195.0,1196.5,1198.3,1200.0,1180.4,1188.5,1196.3,1203.5,1209.7,1143.6,1152.8,1163.3,1171.1,1162.6,1152.0,1209.8,1218.3,1227.6,1233.8,1228.1,1218.9,1166.8,1179.9,1190.0,1196.6,1203.4,1210.9,1216.5,1210.8,1203.8,1196.7,1189.5,1179.4,1172.1,1189.5,1196.3,1203.1,1212.4,1203.3,1196.5,1189.7,907.1,928.7,950.2,970.6,989.1,1004.4,1016.0,1024.2,1026.2,1023.8,1014.7,1002.5,986.9,968.5,949.8,931.5,913.2,888.3,877.4,873.5,875.4,881.7,883.1,879.3,879.3,883.8,894.5,899.8,910.8,921.6,933.0,947.4,949.4,951.2,949.9,948.0,902.0,896.2,896.7,904.1,906.1,905.8,906.4,899.9,900.9,907.2,909.8,909.3,978.9,969.9,965.7,967.9,966.4,971.4,979.9,983.9,985.2,985.5,985.0,983.5,978.2,974.0,974.5,974.4,979.0,975.4,975.8,975.2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6,0,0.083,0.88,1,1100.5,1101.1,1103.6,1107.6,1116.0,1130.1,1148.1,1169.6,1190.7,1208.9,1223.0,1234.8,1242.9,1247.6,1250.5,1252.7,1253.1,1125.7,1137.8,1154.3,1170.9,1185.3,1203.9,1216.8,1229.6,1241.3,1247.8,1195.2,1196.7,1198.4,1200.2,1180.6,1188.7,1196.5,1203.7,1209.9,1143.6,1152.8,1163.3,1171.1,1162.6,1152.0,1209.8,1218.3,1227.7,1233.9,1228.1,1218.9,1166.9,1179.9,1190.1,1196.7,1203.5,1211.0,1216.6,1210.9,1203.9,1196.7,1189.5,1179.4,1172.1,1189.6,1196.4,1203.2,1212.5,1203.4,1196.6,1189.8,906.7,928.5,950.1,970.6,989.2,1004.5,1016.1,1024.4,1026.3,1023.7,1014.2,1001.6,985.8,967.3,948.7,930.5,912.4,888.3,877.3,873.4,875.3,881.6,883.1,879.2,879.2,883.6,894.3,899.7,910.8,921.7,933.2,947.5,949.5,951.3,949.9,948.0,901.9,896.1,896.6,903.9,906.0,905.7,906.2,899.7,900.6,906.9,909.5,909.0,978.8,969.9,965.8,968.0,966.4,971.3,979.7,983.8,985.2,985.5,985.0,983.5,978.1,974.0,974.5,974.4,978.9,975.3,975.8,975.2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
7,0,0.100,0.88,1,1100.2,1100.3,1102.3,1105.7,1113.4,1126.9,1145.1,1167.6,1189.7,1208.4,1222.6,1234.5,1242.7,1247.7,1250.7,1253.0,1253.6,1126.1,1138.7,1155.1,1171.4,1185.3,1204.0,1217.2,1229.9,1241.6,1248.3,1195.0,1196.7,1198.6,1200.4,1180.7,1188.8,1196.6,1203.8,1209.9,1143.1,1152.3,1162.8,1170.6,1162.2,1151.7,1210.2,1218.5,1227.8,1234.1,1228.4,1219.3,1166.5,1179.9,1190.1,1196.9,1203.8,1211.4,1217.1,1211.3,1204.1,1196.7,1189.4,1179.2,1172.0,1189.5,1196.4,1203.4,1213.1,1203.6,1196.5,1189.6,905.0,926.1,947.2,967.4,986.3,1002.4,1014.8,1024.1,1026.4,1023.7,1014.0,1001.1,985.2,966.5,947.4,928.4,909.4,886.8,876.7,873.5,875.5,881.3,881.8,877.3,876.7,880.9,891.1,897.8,909.4,920.9,932.9,946.6,948.7,950.5,949.1,947.0,900.4,894.6,894.9,902.1,904.1,904.0,903.3,896.4,897.1,903.1,905.9,905.6,978.5,969.6,965.5,967.5,965.9,970.5,978.6,983.3,985.0,985.4,984.9,983.4,977.8,973.7,974.1,973.8,978.0,975.1,975.6,975.1,0.00,0.00,0.04,0.00,0.48,0.38,0.29,0.57,0.18,0.00,0.05,0.05,0.04,0.00,0.37,0.27,0.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
8,0,0.117,0.73,0,1102.5,1101.6,1102.5,1105.3,1112.0,1124.7,1143.6,1167.8,1191.4,1211.2,1225.2,1236.4,1244.0,1248.5,1251.6,1253.7,1253.7,1131.2,1144.2,1158.8,1173.1,1185.1,1206.0,1218.2,1229.9,1240.9,1248.2,1196.1,1197.9,1199.8,1201.6,1181.7,1189.8,1197.8,1205.0,1211.0,1145.6,1154.7,1164.5,1172.2,1164.2,1154.5,1211.2,1219.8,1228.5,1234.9,1229.2,1220.7,1163.6,1178.2,1190.3,1197.9,1205.8,1214.6,1220.6,1214.3,1205.8,1197.2,1188.8,1176.8,1169.2,1189.6,1197.4,1205.3,1216.5,1205.0,1196.7,1188.9,901.4,921.5,942.5,962.8,982.3,999.8,1013.7,1023.9,1026.5,1023.2,1012.6,998.3,981.3,962.1,942.5,922.7,902.9,881.0,873.5,872.0,874.2,879.3,878.4,873.4,872.1,875.1,883.5,891.6,903.6,915.6,928.1,940.3,942.8,944.8,943.1,940.8,894.8,889.3,889.5,895.8,897.2,897.2,896.0,889.6,889.8,895.2,897.4,897.3,971.3,961.7,957.9,959.9,958.2,962.4,971.0,980.0,983.6,984.4,983.7,980.3,970.9,966.0,966.3,965.9,970.9,973.2,974.0,973.4,0.00,0.00,0.04,0.00,0.48,0.38,0.29,0.57,0.18,0.00,0.05,0.05,0.04,0.00,0.37,0.27,0.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
9,0,0.133,0.62,0,1102.8,1101.9,1102.6,1105.3,1111.4,1123.6,1142.5,1167.3,1191.3,1211.1,1225.0,1236.0,1243.5,1248.0,1251.4,1253.6,1253.7,1131.5,1144.6,1159.0,1173.1,1184.8,1204.9,1217.3,1229.0,1240.1,1248.0,1195.4,1197.1,1199.0,1200.9,1181.1,1189.4,1197.6,1204.7,1210.9,1144.8,1154.1,1163.9,1171.9,1163.8,1154.1,1210.9,1219.7,1228.3,1234.9,1229.1,1220.6,1164.0,1178.3,1190.7,1198.8,1207.0,1216.2,1221.6,1215.7,1207.1,1197.9,1189.0,1176.8,1169.9,1189.7,1198.0,1206.4,1217.4,1206.0,1197.2,1188.9,902.1,921.5,941.9,961.7,981.1,998.7,1013.1,1023.6,1026.3,1022.9,1012.3,998.0,981.1,962.0,942.3,922.5,902.8,880.7,873.4,872.2,874.3,879.2,877.8,872.8,871.3,874.1,882.3,891.0,902.6,914.2,926.4,938.5,940.9,942.9,941.0,938.9,894.8,889.4,889.5,895.4,896.7,896.8,895.1,888.9,889.1,894.0,896.2,896.1,970.8,958.9,954.1,956.0,954.2,959.2,969.7,979.8,984.3,985.3,984.7,980.9,970.1,963.3,963.4,963.1,969.4,972.6,973.5,972.9,0.00,0.00,0.06,0.00,0.76,0.46,0.45,0.88,0.26,0.00,0.05,0.07,0.05,0.00,0.39,0.31,0.36,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00
10,0,0.150,0.77,1,1101.1,1100.9,1102.6,1106.0,1113.4,1126.7,1144.9,1167.5,1189.8,1208.7,1222.8,1234.4,1242.5,1247.4,1250.9,1253.6,1254.2,1126.9,1139.7,1155.9,1171.9,1185.4,1204.3,1217.4,1230.1,1241.9,1249.0,1195.4,1197.1,1199.0,1200.8,1180.8,1189.0,1197.0,1204.2,1210.4,1143.1,1152.3,1162.8,1170.7,1162.3,1151.8,1211.1,1219.7,1228.9,1235.2,1229.4,1220.3,1166.7,1180.0,1190.3,1197.1,1204.1,1211.8,1217.6,1211.8,1204.5,1196.9,1189.4,1179.3,1172.3,1189.6,1196.6,1203.7,1213.5,1203.9,1196.7,1189.7,903.1,924.1,945.4,965.8,985.0,1001.4,1014.3,1023.8,1026.3,1023.8,1014.0,1000.9,984.8,966.0,946.7,927.2,907.7,884.5,875.1,872.6,874.9,880.7,881.1,876.6,875.6,879.2,888.8,895.0,907.2,919.4,932.0,944.9,947.2,949.1,947.6,945.4,897.1,891.2,891.5,898.8,900.6,900.4,899.9,893.0,893.7,899.7,902.4,902.0,977.4,968.4,964.4,966.5,964.7,969.3,977.5,982.6,984.6,985.1,984.5,982.8,976.8,972.5,972.9,972.6,977.0,974.3,974.9,974.3,0.00,0.00,0.03,0.00,0.59,0.27,0.20,0.43,0.15,0.00,0.06,0.06,0.08,0.00,0.02,0.12,0.31,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00
